,station_ID,Date,Time,Day,Month,Year,TC,TdC,Hr,ddd,ffkmh,Precmm,Prechrs,Nt,Nh,HKm,Viskm
441,63680,01/10/2021 12:00,12:00:00,1,10,2021,19.5,18.9,96,CAL,0,70.0/6h,6h,8,5,0.3,6
451,63680,01/10/2021 09:00,09:00:00,1,10,2021,20,18.9,96,CAL,0,3.0/3h,3h,8,5,0.3,6
461,63680,01/10/2021 06:00,06:00:00,1,10,2021,22.5,18.9,74,CAL,0,0.0/24h,24h,4,4,0.3,4
214,63680,30/09/2021 12:00,12:00:00,30,9,2021,26.5,18.9,61,CAL,0,0.0/6h,6h,6,4,0.6,10
314,63680,30/09/2021 06:00,06:00:00,30,9,2021,18.4,18.9,94,CAL,0,0.3/24h,24h,8,6,0.3,8
413,63680,29/09/2021 12:00,12:00:00,29,9,2021,30,18.9,49,CAL,0,0.0/6h,6h,4,4,0.6,10
59,63680,29/09/2021 06:00,06:00:00,29,9,2021,22.6,18.9,79,ENE,7.4,0.0/24h,24h,3,3,0.3,5
63,63680,28/09/2021 12:00,12:00:00,28,9,2021,27.8,18.9,57,CAL,0,0.0/6h,6h,4,4,0.6,10
73,63680,27/09/2021 09:00,09:00:00,27,9,2021,25.5,18.9,60,N,5.6,0.0/3h,3h,7,7,0.6,10
83,63680,26/09/2021 09:00,09:00:00,26,9,2021,27,18.9,53,NNE,11.1,0.0/3h,3h,4,4,0.6,10
93,63680,26/09/2021 06:00,06:00:00,26,9,2021,21.5,18.9,79,E,5.6,2.0/24h,24h,4,2,0.3,8
103,63680,23/09/2021 09:00,09:00:00,23,9,2021,26,18.9,62,SSE,7.4,0.0/3h,3h,5,5,0.6,10
113,63680,23/09/2021 06:00,06:00:00,23,9,2021,22.5,18.9,76,CAL,0,0.0/24h,24h,4,2,0.3,6
123,63680,22/09/2021 12:00,12:00:00,22,9,2021,25.5,18.9,59,SSE,7.4,0.0/6h,6h,4,4,0.6,10
133,63680,22/09/2021 06:00,06:00:00,22,9,2021,19.6,18.9,89,CAL,0,66.0/24h,24h,8,6,0.3,5
143,63680,21/09/2021 12:00,12:00:00,21,9,2021,26,18.9,58,CAL,0,0.0/6h,6h,7,5,0.6,9
153,63680,21/09/2021 09:00,09:00:00,21,9,2021,26.5,18.9,55,ENE,7.4,0.0/3h,3h,2,2,0.6,10
163,63680,21/09/2021 06:00,06:00:00,21,9,2021,21,18.9,79,CAL,0,0.1/24h,24h,2,2,0.3,7
173,63680,20/09/2021 09:00,09:00:00,20,9,2021,24.6,18.9,69,CAL,0,0.1/3h,3h,6,4,0.6,10
183,63680,20/09/2021 06:00,06:00:00,20,9,2021,20,18.9,91,CAL,0,0.7/24h,24h,7,5,0.3,6
193,63680,18/09/2021 12:00,12:00:00,18,9,2021,18.4,18.9,92,CAL,0,3.0/6h,6h,8,6,0.3,9
203,63680,14/09/2021 12:00,12:00:00,14,9,2021,25.6,18.9,62,CAL,0,0.0/6h,6h,5,5,0.6,10
215,63680,14/09/2021 09:00,09:00:00,14,9,2021,26,18.9,58,WNW,3.7,0.0/3h,3h,4,4,0.6,9
223,63680,14/09/2021 06:00,06:00:00,14,9,2021,20.5,18.9,87,CAL,0,Tr/24h,24h,7,5,0.3,5
233,63680,13/09/2021 12:00,12:00:00,13,9,2021,27.4,18.9,53,S,7.4,0.0/6h,6h,4,4,0.6,10
243,63680,13/09/2021 09:00,09:00:00,13,9,2021,25.4,18.9,64,SSE,7.4,0.0/3h,3h,5,5,0.6,9
253,63680,13/09/2021 06:00,06:00:00,13,9,2021,21.6,18.9,78,CAL,0,0.0/24h,24h,6,4,0.3,5
263,63680,11/09/2021 06:00,06:00:00,11,9,2021,21,18.9,83,SSE,14.4,0.0/24h,24h,7,7,0.3,8
273,63680,09/09/2021 12:00,12:00:00,9,9,2021,25.5,18.9,60,W,13,0.0/6h,6h,4,4,0.6,10
283,63680,09/09/2021 09:00,09:00:00,9,9,2021,23.5,18.9,66,CAL,0,0.0/3h,3h,7,6,0.6,8
293,63680,05/09/2021 12:00,12:00:00,5,9,2021,26,18.9,58,WNW,7.4,0.0/6h,6h,6,6,0.6,10
303,63680,05/09/2021 09:00,09:00:00,5,9,2021,24.5,18.9,66,CAL,0,0.0/3h,3h,4,4,0.6,10
